Date	COCORAHS Gage	Mean Nexrad	COCORAHS Snowfall	COCORAHS Snowf Liq
2006-02-01	na	na	na	na
2006-02-02	na	0.00	na	na
2006-02-03	na	0.04	na	na
2006-02-04	na	0.24	na	na
2006-02-05	na	0.04	na	na
2006-02-06	na	0.00	na	na
2006-02-07	na	0.00	na	na
2006-02-08	na	0.00	na	na
2006-02-09	na	0.00	na	na
2006-02-10	na	0.03	na	na
2006-02-11	na	0.00	na	na
2006-02-12	na	0.12	na	na
2006-02-13	na	0.00	na	na
2006-02-14	na	0.00	na	na
2006-02-15	na	0.00	na	na
2006-02-16	na	0.12	na	na
2006-02-17	na	0.58	na	na
2006-02-18	na	0.00	na	na
2006-02-19	na	0.00	na	na
2006-02-20	na	0.00	na	na
2006-02-21	na	0.00	na	na
2006-02-22	na	0.00	na	na
2006-02-23	na	0.00	na	na
2006-02-24	na	0.00	na	na
2006-02-25	na	0.00	na	na
2006-02-26	na	0.00	na	na
2006-02-27	na	0.02	na	na
2006-02-28	na	0.00	na	na
2006-03-01	na	0.00	na	na
2006-03-02	na	0.01	na	na
2006-03-03	na	0.00	na	na
2006-03-04	na	0.00	na	na
2006-03-05	na	0.00	na	na
2006-03-06	na	0.22	na	na
2006-03-07	na	0.02	na	na
2006-03-08	na	0.12	na	na
2006-03-09	na	0.50	na	na
2006-03-10	na	0.35	na	na
2006-03-11	na	0.00	na	na
2006-03-12	na	0.14	na	na
2006-03-13	na	0.57	na	na
2006-03-14	na	0.00	na	na
2006-03-15	na	0.00	na	na
2006-03-16	na	0.02	na	na
2006-03-17	na	0.29	na	na
2006-03-18	na	0.00	na	na
2006-03-19	na	0.00	na	na
2006-03-20	na	0.00	na	na
2006-03-21	na	0.00	na	na
2006-03-22	na	0.00	na	na
2006-03-23	na	0.00	na	na
2006-03-24	na	0.09	na	na
2006-03-25	na	0.08	na	na
2006-03-26	na	0.00	na	na
2006-03-27	na	0.00	na	na
2006-03-28	na	0.24	na	na
2006-03-29	na	0.00	na	na
2006-03-30	na	0.00	na	na
2006-03-31	na	0.06	na	na
2006-04-01	na	0.02	na	na
2006-04-02	na	0.00	na	na
2006-04-03	na	0.57	na	na
2006-04-04	na	0.09	na	na
2006-04-05	na	0.00	na	na
2006-04-06	na	0.00	na	na
2006-04-07	na	0.05	na	na
2006-04-08	na	0.00	na	na
2006-04-09	na	0.00	na	na
2006-04-10	na	0.00	na	na
2006-04-11	na	0.00	na	na
2006-04-12	na	0.04	na	na
2006-04-13	na	0.00	na	na
2006-04-14	na	0.04	na	na
2006-04-15	na	0.05	na	na
2006-04-16	na	0.17	na	na
2006-04-17	na	0.47	na	na
2006-04-18	na	0.00	na	na
2006-04-19	na	0.00	na	na
2006-04-20	na	0.03	na	na
2006-04-21	na	0.00	na	na
2006-04-22	na	0.04	na	na
2006-04-23	na	0.00	na	na
2006-04-24	na	0.00	na	na
2006-04-25	na	0.02	na	na
2006-04-26	na	0.04	na	na
2006-04-27	na	0.00	na	na
2006-04-28	na	0.00	na	na
2006-04-29	na	0.00	na	na
2006-04-30	na	0.74	na	na
2006-05-01	na	0.27	na	na
2006-05-02	na	0.28	na	na
2006-05-03	na	0.00	na	na
2006-05-04	na	0.00	na	na
2006-05-05	na	0.00	na	na
2006-05-06	na	0.00	na	na
